Reference source,Reference metadata,Location,Group/Formation,Lithology,Metamorphic grade,Age Range (Ga),Age (Ga),"Sample name, or # of samples",TOC(±s),d13C
Guy et al 2012,,,"Government, Palmietfontein",shale,,,2.94,AM1-2283,0,-26.1
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,AM1-2939,0,-26.2
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,AM1-2398,0.01,-25.6
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,AM1-2404,0.01,-25.6
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,AM1-2408,0.01,-25.7
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,AM1-2415,0.02,-25.3
Guy et al 2012,,,"Government, Palmietfontein",shale,,,2.94,AM1-2425,0.01,-26.8
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,AM1-2462,0.01,-25.6
Guy et al 2012,,,"Government, Palmietfontein",shale,,,2.94,AM1-2477,0.01,-25.4
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,AM1-2521,0.01,-24.1
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,AM1-2527,0.01,-24.2
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,AM1-2531,0.01,-24.2
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,AM1-2535,0.01,-26.5
Guy et al 2012,,,"Government, Palmietfontein",shale,,,2.94,JY8-2623,0.01,-26.4
Guy et al 2012,,,"Government, Palmietfontein",shale,,,2.94,JY8-2628,0.01,-26.1
Guy et al 2012,,,"Government, Palmietfontein",shale,,,2.94,JY8-2636,0.01,-26.1
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,JY8-2646,0.01,-24.8
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,JY8-2650,0.01,-25.7
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,JY8-2656,0.01,-29.4
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,JY8-2660,0.01,-26.2
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,JY8-2667,0,-24.7
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,JY8-2676,0.01,-26.4
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,JY8-2790,0.01,-25.9
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,JY8-2814,0.01,-26.4
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,JY8-2827,0,-25.4
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,JY8-2832,0.01,-26.4
Guy et al 2012,,,"Government, Palmietfontein",sandstone shale,,,2.94,JY8-2837,0.02,-28.3
Guy et al 2012,,,"Government, Coronation",shale,,,2.94,AM1-2805,0.01,-25.8
Guy et al 2012,,,"Government, Coronation",BIF,,,2.94,AM1-2810,0.01,-25.8
Guy et al 2012,,,"Government, Coronation",BIF,,,2.94,Am1-2811,0.01,-24.7
Guy et al 2012,,,"Government, Coronation",diamictite,,,2.94,AM1-2813,0.01,-25.3
Guy et al 2012,,,"Government, Coronation",sandstone,,,2.94,AM1-2817,0,-25
Guy et al 2012,,,"Government, Coronation",sandstone shale,,,2.94,AM1-2840,0.01,-25.7
Guy et al 2012,,,"Government, Coronation",sandstone shale,,,2.94,AM1-2834,0.01,-25.7
Guy et al 2012,,,"Government, Coronation",sandstone shale,,,2.94,AM1-2843,0,-26.4
Guy et al 2012,,,"Government, Coronation",sandstone shale,,,2.94,AM1-2848,0.01,-26.7
Guy et al 2012,,,"Government, Coronation",sandstone shale,,,2.94,AM1-2853,0.01,-28.1
Guy et al 2012,,,"Government, Coronation",sandstone shale,,,2.94,BAB1-914,0.11,-37.9
Guy et al 2012,,,"Government, Coronation",sandstone shale,,,2.94,Bab1-920,0.09,-37.9
Guy et al 2012,,,"Government, Coronation",sandstone shale,,,2.94,BAB1-925,0.09,-37.6
Guy et al 2012,,,"Government, Coronation",sandstone shale,,,2.94,BAB1-930,0.09,-37.9
Guy et al 2012,,,"Government, Coronation",sandstone shale,,,2.94,BAB1-934,0.11,-38.2
Guy et al 2012,,,"Government, Coronation",sandstone shale,,,2.94,BAB1-937,0.12,-38.2
Guy et al 2012,,,"Government, Coronation",sandstone shale,,,2.94,BAB1-941,0.13,-37.9
Guy et al 2012,,,"Government, Coronation",quartz,,,2.94,BAB1-942,0.16,-38.1
Guy et al 2012,,,"Government, Coronation",diamictite,,,2.94,BAB1-947,0.02,-34.7
Guy et al 2012,,,"Government, Coronation",diamictite,,,2.94,BAB1-949,0.02,-32.5
Guy et al 2012,,,"Government, Coronation",diamictite,,,2.94,BAB1-979,0.02,-33.9
Guy et al 2012,,,"Government, Coronation",diamictite,,,2.94,BAB1-987,0.03,-35
Guy et al 2012,,,"Government, Coronation",sandstone shale,,,2.94,BAB1-994,0.09,-39.4
Guy et al 2012,,,"Government, Coronation",diamictite,,,2.94,BAB1-1000,0.03,-34.4
Guy et al 2012,,,"Government, Coronation",shale,,,2.94,BAB1-1000,0.09,-38.1
Guy et al 2012,,,"Government, Coronation",diamictite,,,2.94,BAB1-1000,0.02,-33.7
Guy et al 2012,,,"Government, Coronation",sandstone shale,,,2.94,BAB1-1010,0.04,-35.3
Guy et al 2012,,,"Government, Coronation",diamictite,,,2.94,BAB1-1012,0.03,-37.5
Guy et al 2012,,,"Government, Coronation",sandstone shale,,,2.94,BAB1-1013,0.22,-44.3
Guy et al 2012,,,"Government, Coronation",sandstone shale,,,2.94,BAB1-1015,0.09,-38.1
Guy et al 2012,,,"Government, Coronation",sandstone,,,2.94,BAB1-1016,0.01,-29.8
Guy et al 2012,,,"Government, Promise",sandstone shale,,,2.94,BAB1-1066,0.07,-37.5
Guy et al 2012,,,"Government, Promise",sandstone shale,,,2.94,BAB1-1082,0.1,-39.6
Guy et al 2012,,,"Government, Promise",sandstone shale,,,2.94,BAB1-1120,0.1,-39.7
Guy et al 2012,,,"Government, Promise",sandstone shale,,,2.94,BAB1-1138,0.14,-41.5
Guy et al 2012,,,"Government, Promise",sandstone shale,,,2.94,Bab1-1151,0.1,-44
Guy et al 2012,,,"Government, Promise",sandstone shale,,,2.94,BAB1-1155,0.09,-42.3
Guy et al 2012,,,"Government, Promise",sandstone shale,,,2.94,BAB1-1157,0.1,-39.5
Guy et al 2012,,,"Government, Promise",sandstone shale,,,2.94,BAB1-1157,0.08,-39.8
Guy et al 2012,,,"Government, Promise",sandstone shale,,,2.94,BAB1-1172,0.1,-40.8
Guy et al 2012,,,"Government, Promise",sandstone shale,,,2.94,BAB1-1211,0.05,-39.3
Guy et al 2012,,,"Government, Promise",sandstone shale,,,2.94,BAB1-1220,0.05,-38.3
Guy et al 2012,,,"Government, Promise",sandstone shale,,,2.94,BAB1-1224,0.05,-37.2
Guy et al 2012,,,"Government, Promise",diamictite,,,2.94,BAB1-1230,0.03,-35.9
Guy et al 2012,,,"Government, Promise",diamictite,,,2.94,BAB1-1236,0.06,-38.2
Guy et al 2012,,,"Government, Promise",sandstone shale,,,2.94,BAB1-1246,0.05,-36.9
Guy et al 2012,,,"Government, Promise",sandstone shale,,,2.94,BAB1-1251,0.03,-36
Guy et al 2012,,,"Government, Promise",sandstone shale,,,2.94,BAB1-1262,0.01,-25.2
Guy et al 2012,,,"Government, Promise",sandstone shale,,,2.94,BAB1-1263,0.01,-25.2
Guy et al 2012,,,"Government, Promise",sandstone shale,,,2.94,BAB1-1303,0,-25
Guy et al 2012,,,"Government, Promise",sandstone shale,,,2.94,BAB1-1313,0.01,-26.3
Guy et al 2012,,,"Government, Eleazar",sandstone shale,,,2.94,BAB1-1348,0.05,-36.8
Guy et al 2012,,,"Government, Eleazar",sandstone shale,,,2.94,BAB1-1356,0.04,-28.4
Guy et al 2012,,,"Hospital Hill, Brixton",shale,,,2.96,TF-1-3015,0.04,-26.3
Guy et al 2012,,,"Hospital Hill, Brixton",sandstone shale,,,2.96,TF1-3035,0.12,-26.1
Guy et al 2012,,,"Hospital Hill, Brixton",sandstone shale,,,2.96,TF1-3055,0.1,-28
Guy et al 2012,,,"Hospital Hill, Brixton",sandstone shale,,,2.96,TF1-3070,0.06,-24.6
Guy et al 2012,,,"Hospital Hill, Brixton",sandstone shale,,,2.96,TF1-3080,0.01,-23.7
Guy et al 2012,,,"Hospital Hill, Brixton",shale,,,2.96,TF1-3090,0.03,-24.4
Guy et al 2012,,,"Hospital Hill, Brixton",shale,,,2.96,TF1-3105,0.02,-24.9
Guy et al 2012,,,"Hospital Hill, Brixton",sandstone shale,,,2.96,TF1-3111,0.02,-22.4
Guy et al 2012,,,"Hospital Hill, parktown",sandstone shale,,,2.96,TF1-3515,0.08,-26.9
Guy et al 2012,,,"Hospital Hill, parktown",sandstone shale,,,2.96,TF1-3570,0.09,-27.4
Guy et al 2012,,,"Hospital Hill, parktown",sandstone shale,,,2.96,TF1-3610,0.11,-27.9
Guy et al 2012,,,"Hospital Hill, parktown",sandstone shale,,,2.96,TF1-3710,0.16,-27.1
Guy et al 2012,,,"Hospital Hill, parktown",shale,,,2.96,TF1-3760,0.01,-26.6
Guy et al 2012,,,"Hospital Hill, parktown",BIF,,,2.96,TF1-3775,0.01,-24.2
Guy et al 2012,,,"Hospital Hill, parktown",BIF,,,2.96,TF1-3783,0.01,-21.9
Guy et al 2012,,,"Hospital Hill, parktown",shale,,,2.96,TF1-3784,0.01,-26.8
Guy et al 2012,,,"Hospital Hill, parktown",shale,,,2.96,TF1-3795,0.01,-24.9
Guy et al 2012,,,"Hospital Hill, parktown",shale,,,2.96,TF1-3800,0.01,-25.2
Guy et al 2012,,,"Hospital Hill, parktown",sandstone shale,,,2.96,TF1-3804,0.01,-25.9
Guy et al 2012,,,"Hospital Hill, parktown",shale,,,2.96,TF1-3810,0.01,-25.6
Guy et al 2012,,,"Hospital Hill, parktown",sandstone shale,,,2.96,TF1-3815,0.01,-25.5
Guy et al 2012,,,"Hospital Hill, parktown",sandstone shale,,,2.96,TF1-4315,0.03,-29.3
Guy et al 2012,,,"Hospital Hill, parktown",shale,,,2.96,TF1-4326,0.02,-26.1
Guy et al 2012,,,"Hospital Hill, parktown",BIF,,,2.96,Tf1-4333,0.02,-24
Guy et al 2012,,,"Hospital Hill, parktown",shale,,,2.96,TF1-4340,0.01,-23
Guy et al 2012,,,"Hospital Hill, parktown",shale,,,2.96,TF1-4350,0.02,-23.2
Guy et al 2012,,,"Hospital Hill, parktown",shale,,,2.96,TF1-4360,0.02,-24.5
Guy et al 2012,,,"Hospital Hill, parktown",shale,,,2.96,TF1-4370,0.01,-23.2
Guy et al 2012,,,"Hospital Hill, parktown",siderite and ankerite bearing,,,2.96,TF1-4375,0.02,-23.5
Guy et al 2012,,,"Hospital Hill, parktown",siderite and ankerite bearing,,,2.96,TF1-4380,0.02,-23.7
Guy et al 2012,,,"Hospital Hill, parktown",shale,,,2.96,TF1-4385,0.63,-27.5
Guy et al 2012,,,"Hospital Hill, parktown",shale,,,2.96,TF1-4390,0.67,-27.6
Guy et al 2012,,,"Hospital Hill, parktown",shale,,,2.96,TF1-4395,0.71,-27.6
Guy et al 2012,,,"Hospital Hill, parktown",shale,,,2.96,TF1-4400,0.88,-27.9
Guy et al 2012,,,"Hospital Hill, parktown",shale,,,2.96,TF1-4405,0.58,-27.7
Guy et al 2012,,,"Hospital Hill, parktown",sandstone shale,,,2.96,TF1-4410,0.6,-27.5
Guy et al 2012,,,"Hospital Hill, parktown",sandstone shale,,,2.96,TF1-4415,0.38,-27.6
Guy et al 2012,,,"Hospital Hill, parktown",sandstone shale,,,2.96,TF1-4420,0.28,-27
Guy et al 2012,,,"Hospital Hill, parktown",sandstone shale,,,2.96,TF1-4430,0.23,-28.1
Guy et al 2012,,,"Hospital Hill, parktown",sandstone shale,,,2.96,TF1-4400,0.29,-27.4
Guy et al 2012,,,"Hospital Hill, parktown",sandstone shale,,,2.96,TF1-4455,0.22,-27.5
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKP226.55,3.32,-30.88
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKP236.2,6.46,-35.92
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKP240.55,1.69,-35.31
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKP246.65,3.78,-36.24
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKP264.4,2.99,-32.52
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP274.85,2.33,-33.21
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP279.82,4.37,-36.64
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP286.8,2.23,-31.62
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP299.9,2.29,-37.69
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP307.8,3.07,-42.26
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP310.9,2.98,-38.42
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP324.5,5.16,-36.8
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP341.45,1.33,-35.11
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP385.95,1.11,-33.32
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP395.8,1.62,-32.66
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP404.4,0.9,-31.8
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP412.9,1.71,-31.14
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP427.4,1.08,-30.1
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP435.9,0.63,-30.61
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP443.1,1.83,-32.61
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP450.56,1.53,-32.7
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP460.3,2.54,-28.59
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP472.17,0.83,-28.52
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP478.14,0.27,-30.49
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP487.22,0.54,-32.46
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP491.15,2.12,-32.24
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP494.2,0.67,-31.79
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP495.5,2.57,-33.27
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP497.33,1.09,-33.87
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP506.2,1.38,-32.1
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP511.53,0.59,-31.19
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP529.56,1.41,-33.69
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP540.12,2.44,-33.22
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP548.53,1.41,-31.85
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP557.56,1.6,-32.05
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP566.2,1.6,-31.41
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP572.95,1.11,-31.74
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP581.76,1.84,-31.15
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP593.4,0.5,-32.37
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP602.9,1.92,-32.22
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP612.74,2.09,-32.66
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP614.55,6.03,-31.94
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP619,1.08,-29.49
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP626,1.03,-31.64
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP630.05,0.5,-31.43
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP637,2.24,-38.24
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP645.23,0.88,-31.32
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP653.45,0.74,-31.34
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP657.5,0.69,-30.12
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP671.7,3.39,-31.62
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP693.84,0.43,-29.03
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP704.3,1.88,-32.01
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP712.34,1.41,-32.25
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP719.9,4.21,-33.95
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP723.84,1.35,-31.81
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP733.4,1.64,-32.51
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP742.05,1.93,-28.61
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP743.01,2.27,-32.2
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP754.85,1.14,-29.92
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP761.05,1.6,-31.57
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP769.82,1.33,-29.95
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP785.88,2.24,-29.85
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP796.22,0.82,-30.95
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP800.25,1.11,-28.27
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP825.85,1.56,-32.58
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP849.65,0.6,-27.21
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP854.83,3.32,-29.69
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP864.55,1,-33.38
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP871.83,2.18,-37.53
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP872.83,1.73,-36.86
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP876.95,1.78,-31.51
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP884.9,1.13,-28.47
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP892.4,0.46,-20.38
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP925.2,3.86,-28.21
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP965.1,0.15,-25.04
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP966.54,0.69,-32.36
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP970.75,2.22,-35.19
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP980,3.46,-34.83
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP1002.9,1.24,-37.54
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP1019.9,1.99,-37.23
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP1028.2,1.98,-36.57
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP1033.5,0.47,-33.03
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP1035.7,2.94,-36.3
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP1047.7,5.3,-35.07
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP1051.3,1.74,-36.17
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP1061.15,4.26,-34.81
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP1077,0.52,-35.27
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP1081.75,0.5,-35.6
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP1110.45,0.82,-31.04
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP1121.2,0.59,-33.84
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP1129.65,0.38,-34.28
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP1135.15,0.59,-35.67
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP1139.8,0.67,-32.4
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP1150.9,0.76,-38.05
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP1173.2,0.46,-32.08
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP1180.2,0.37,-35.59
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP1186.56,2.6,-33.82
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP1186.56,0.6,-37.32
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP1187.7,0.42,-37.25
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKP1191.1,0.52,-37.75
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP1200.95,0.71,-42.42
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP1206.17,0.57,-39.68
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP1209.4,1.55,-40.81
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP1214.45,0.63,-43.24
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP1220.2,0.55,-43.94
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP1229.8,0.55,-42.53
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP1236.4,0.51,-43.22
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP1251.7,0.57,-37.62
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP1257.5,0.6,-37.69
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKP1262.5,0.73,-32.34
Fischer et al 2009,,,Transvaal Supergroup,sandstone,sub greenschist,,2.5,GKP1277.4,0.47,-38.75
Fischer et al 2009,,,Transvaal Supergroup,sandstone,sub greenschist,,2.5,GKP1294.8,0.24,-31.39
Fischer et al 2009,,,Transvaal Supergroup,sandstone,sub greenschist,,2.5,GKP1295.6,0.76,-36.64
Fischer et al 2009,,,Transvaal Supergroup,sandstone,sub greenschist,,2.5,GKP1301,0.56,-38.22
Fischer et al 2009,,,Transvaal Supergroup,sandstone,sub greenschist,,2.5,GKP1304.25,0.58,-38.35
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKF183.1,4.96,-30.23
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKF188.48,2.31,-30.09
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKF205.58,0.82,-34.54
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKF207.9,2.96,-34.97
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKF209.8,2.08,-38.48
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKF210.67,0.76,-35.69
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKF221.65,2.14,-33.839
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKF233.95,3.36,-32.67
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKF247,3.82,-31.71
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKF256,3.04,-31.2
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKF264.7,5.71,-38.78
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKF270.1,9.31,-37.98
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKF280,4.91,-37.05
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKF288.1,11.85,-37.8
Fischer et al 2009,,,Transvaal Supergroup,BIF,sub greenschist,,2.5,GKF302.75,0.67,-29.92
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF318.7,2.86,-36.96
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF331.9,1.22,-33.68
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF365.12,0.99,-32.43
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF375.75,0.87,-32.89
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF439.45,3.78,-39.19
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKF440.7,4.28,-39.29
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKF449.66,1.41,-39.21
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF455.7,2.58,-39.43
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF482.65,0.49,-33.83
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF486.86,0.45,-36.24
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF491.38,2.62,-36
